iter	Passed	Remaining
0	52	4665
1	86	3798
2	93	2700
3	99	2135
4	109	1859
5	114	1599
6	146	1742
7	173	1776
8	201	1810
9	229	1833
10	236	1698
11	263	1714
12	293	1735
13	320	1738
14	346	1732
15	373	1725
16	400	1720
17	428	1712
18	457	1708
19	488	1709
20	521	1711
21	551	1705
22	579	1687
23	607	1669
24	633	1647
25	660	1626
26	676	1578
27	705	1562
28	738	1553
29	771	1543
30	801	1525
31	828	1501
32	835	1443
33	840	1384
34	867	1363
35	894	1342
36	921	1319
37	959	1312
38	993	1299
39	1023	1279
40	1051	1256
41	1078	1232
42	1105	1208
43	1134	1185
44	1140	1140
45	1172	1121
46	1204	1102
47	1233	1079
48	1259	1054
49	1286	1029
50	1313	1004
51	1339	978
52	1413	986
53	1442	961
54	1448	921
55	1474	895
56	1478	856
57	1489	821
58	1514	795
59	1540	770
60	1571	747
61	1601	723
62	1629	698
63	1656	672
64	1681	646
65	1708	621
66	1735	595
67	1760	569
68	1786	543
69	1812	517
70	1840	492
71	1856	464
72	1882	438
73	1909	412
74	1936	387
75	1964	361
76	1990	336
77	2021	311
78	2055	286
79	2084	260
80	2115	235
81	2142	209
82	2169	182
83	2199	157
84	2227	131
85	2258	105
86	2291	79
87	2318	52
88	2345	26
89	2371	0
